author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
ID 79938038;homeowner;https://www.cian.ru/sale/flat/298641381/;Москва;sale;flat;19;33;1;31.7;17800000;2023;-1;-1;-1;-1;-1;-1;+79057156521;Хорошево-Мневники;Причальный проезд;10Б;Шелепиха;Level Причальный
ЛСР;developer;https://www.cian.ru/sale/flat/293202206/;Москва;sale;flat;26;32;1;35.7;18062664;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая, чистовая с мебелью;20 м²;10,7 м²;+74951378813;Западное Дегунино;Северный ао;;Верхние Лихоборы;Дмитровское небо ЖК
ID 22653;real_estate_agent;https://www.cian.ru/sale/flat/298543513/;Москва;sale;flat;4;18;1;37.6;18000000;2007;-1;-1;-1;-1;19 м²;10 м²;+79652359211;Раменки; Столетова;8;Ломоносовский проспект;
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/296385467/;Москва;sale;flat;3;11;1;35.0;18000000;1962;-1;-1;-1;-1;16,8 м²;9 м²;+79660638799;Якиманка;Ленинский проспект;7;;
Самолет Плюс Москва;real_estate_agent;https://www.cian.ru/sale/flat/296211573/;Москва;sale;flat;5;23;1;40.3;18000000;2013;-1;-1;-1;-1;18,5 м²;10,2 м²;+79660638799;Строгино; Твардовского;12к3;Строгино;Альбатрос
ЛСР;developer;https://www.cian.ru/sale/flat/297462647/;Москва;sale;flat;8;28;1;40.5;18112248;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;23,4 м²;12,2 м²;+74951378798;Даниловский;18/19/27;18/19/27;ЗИЛ;Зиларт ЖК
MR Group;developer;https://www.cian.ru/sale/flat/299115757/;Москва;sale;flat;13;15;1;39.94;18128766;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387204;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/298008458/;Москва;sale;flat;6;16;1;46.12;19218204;2025;-1;Монолитный;-1;Чистовая;-1;-1;+74951378848;Даниловский;Автозаводская ;24К1;ЗИЛ;Дом на набережной INSIDER
MR Group;developer;https://www.cian.ru/sale/flat/298229752/;Москва;sale;flat;16;39;1;43.68;19222214;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387204;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ID 112964266;real_estate_agent;https://www.cian.ru/sale/flat/299249513/;Москва;sale;flat;13;23;1;37.2;19000000;2024;-1;-1;-1;-1;10,9 м²;16,4 м²;+79646348192;Хорошевский; Зорге;9;Полежаевская;Зорге 9
St Michael;developer;https://www.cian.ru/sale/flat/298001333/;Москва;sale;flat;17;21;1;39.29;19392240;2024;-1;Монолитно-кирпичный;-1;Без отделки;11,8 м²;18,3 м²;+74951370057;Хорошевский;;;Полежаевская;Зорге 9 ЖК
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298496731/;Москва;sale;flat;14;19;1;29.0;19459000;2024;-1;Монолитный;-1;Без отделки;8,4 м²;13,2 м²;+74951387165;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298219173/;Москва;sale;flat;13;20;1;42.0;19500000;2018;-1;-1;-1;-1;9,5 м²;15,7 м²;+79099019406;Хорошево-Мневники;3-я Хорошевская ;21к6;Зорге;Хорошевский
Forma;developer;https://www.cian.ru/sale/flat/299487421/;Москва;sale;flat;2;29;1;38.4;19450444;2026;-1;-1;-1;Без отделки;13,5 м²;14,3 м²;+74951374358;Аэропорт;Часовая ;28к8;Сокол;SOUL
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/293834047/;Москва;sale;flat;19;39;1;40.4;20500000;2024;-1;-1;-1;Чистовая;16 м²;10 м²;+79855523853;Ростокино; Вильгельма Пика;;Ботанический сад;Режиссёр
ID 112964266;real_estate_agent;https://www.cian.ru/sale/flat/299270857/;Москва;sale;flat;16;23;1;39.0;20500000;2022;-1;-1;-1;-1;11,5 м²;18,5 м²;+79646348192;Хорошевский; Зорге;9к1;Зорге;
VSN Realty;real_estate_agent;https://www.cian.ru/sale/flat/291771413/;Москва;sale;flat;10;28;1;37.67;20495970;2024;-1;-1;-1;Без отделки;-1;-1;+79850666993;Марфино; Академика Королева;21;Бутырская;Дом Достижение
Эталон;developer;https://www.cian.ru/sale/flat/299226640/;Москва;sale;flat;11;17;1;42.1;20875762;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;12,5 м²;16,4 м²;+74951377321;Даниловский;2-я оч.;к8;Технопарк;Shagal
А101;developer;https://www.cian.ru/sale/flat/288822008/;Москва;sale;flat;6;16;1;36.2;21096687;2025;-1;Монолитно-кирпичный;-1;Предчистовая;16,2 м²;9,1 м²;+74951374961;Сокол; Зорге;25С2;Октябрьское поле;Дом на Зорге
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/297312651/;Москва;sale;flat;2;28;1;38.3;21000000;2021;-1;-1;-1;-1;-1;-1;+79099986975;Хорошево-Мневники;бульвар Генерала Карбышева;11;Карамышевская;Union Park
КОРТРОС;developer;https://www.cian.ru/sale/flat/289877836/;Москва;sale;flat;47;51;1;30.08;21176320;2024;-1;Монолитно-кирпичный;-1;Без отделки;11,6 м²;-1;+74951387367;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/296440312/;Москва;sale;flat;20;25;1;38.1;22100000;2023;-1;-1;-1;Без отделки;14,1 м²;9,9 м²;+79623682283;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
MR Group;developer;https://www.cian.ru/sale/flat/288824446/;Москва;sale;flat;2;41;1;38.88;22244657;2024;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,4 м²;-1;+74951387081;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Ольга Фраткина;realtor;https://www.cian.ru/sale/flat/294716072/;Москва;sale;flat;11;17;1;55.8;22500000;2000;-1;-1;-1;-1;25 м²;14 м²;+79099517245;Покровское-Стрешнево;Волоколамское шоссе;60К2;Щукинская;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/299182411/;Москва;sale;flat;13;44;1;48.8;22500000;2024;-1;-1;-1;Чистовая;17 м²;6,5 м²;+79623682283;Хорошево-Мневники;к2/2;к2/2;Шелепиха;Сидней Сити ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/299532915/;Москва;sale;flat;8;17;1;44.48;22562385;2024;-1;Монолитно-кирпичный;-1;Без отделки;20,8 м²;11,7 м²;+74951377220;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/298139761/;Москва;sale;flat;2;13;1;45.1;22600000;2023;-1;-1;-1;Без отделки;15,2 м²;18,9 м²;+79660480418;Хорошево-Мневники;Жилой комплекс остров;к5;Терехово ;Остров
Sminex;developer;https://www.cian.ru/sale/flat/293712374/;Москва;sale;flat;20;21;1;38.7;22990000;2024;-1;Монолитный;-1;Без отделки;13 м²;16,3 м²;+74951347316;Марфино; Академика Королева;21;Телецентр;Дом Достижение
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/299018558/;Москва;sale;flat;1;14;1;44.1;24700000;-1;-1;-1;-1;-1;-1;-1;+79153583767;Раменки;;к10;;Вест Гарден ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/297360896/;Москва;sale;flat;32;44;1;45.5;24900000;2024;-1;-1;-1;Чистовая;18,5 м²;15,5 м²;+79623682283;Хорошево-Мневники; Шеногина;;Шелепиха;Sydney City
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380387/;Москва;sale;flat;18;19;1;39.5;25082500;2024;-1;Монолитный;-1;Без отделки;21,6 м²;12,9 м²;+74951387165;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
ID 90289798;unknown;https://www.cian.ru/sale/flat/299660663/;Москва;sale;flat;5;14;1;42.0;24900000;1973;-1;-1;-1;-1;-1;-1;+79197665235;Хамовники;Большой Саввинский переулок;10С1;Киевская;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380112/;Москва;sale;flat;11;24;1;38.6;25630400;2024;-1;Монолитный;-1;Без отделки;11,5 м²;13,8 м²;+74951387165;Щукино;;;Октябрьское поле;Театральный Квартал ЖК
Главстрой;developer;https://www.cian.ru/sale/flat/296921113/;Москва;sale;flat;15;18;1;42.8;25581859;2024;-1;Монолитно-кирпичный;-1;Без отделки;14,5 м²;16,1 м²;+74951379308;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/295019859/;Москва;sale;flat;6;10;1;53.0;25400000;2015;-1;-1;-1;-1;15 м²;20 м²;+79645662192;Басманный;Нижняя Красносельская ;35С48;Бауманская;TriBeCa APARTMENTS
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/299322311/;Москва;sale;flat;5;45;1;56.2;25600000;2024;-1;-1;-1;Без отделки;16,8 м²;21,5 м²;+79851724979;Хорошево-Мневники; Шеногина;;Хорошёво;Sydney City
КОРТРОС;developer;https://www.cian.ru/sale/flat/289877832/;Москва;sale;flat;12;14;1;44.56;28473840;2024;-1;Монолитно-кирпичный;-1;Без отделки;14,7 м²;-1;+74951387367;Пресненский;;;Шелепиха;Хедлайнер ЖК
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/297988751/;Москва;sale;flat;9;21;1;42.1;28899000;2024;-1;-1;-1;-1;16,6 м²;20,5 м²;+79660530736;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
MR Group;developer;https://www.cian.ru/sale/flat/295722140/;Москва;sale;flat;52;55;1;44.21;29144558;2024;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387065;Марьина роща; 4-я Марьиной рощи;12к2;Рижская;Mod
Стадион Спартак;developer;https://www.cian.ru/sale/flat/276650470/;Москва;sale;flat;3;22;1;49.4;29220100;2025;-1;Монолитный;-1;Без отделки, черновая;13,8 м²;11 м²;+74951387190;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/298939595/;Москва;sale;flat;3;10;1;46.2;29300000;2023;-1;-1;-1;-1;13,3 м²;3,2 м²;+79686143933;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
GloraX;developer;https://www.cian.ru/sale/flat/293200136/;Москва;sale;flat;5;21;1;54.3;29709999;2024;-1;Монолитный;-1;Предчистовая;14,1 м²;-1;+74951378830;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/298519060/;Москва;sale;flat;5;19;1;52.0;29990000;2018;-1;-1;-1;-1;20 м²;17,5 м²;+79623624568;Хорошево-Мневники;Шелепихинская набережная;34к1зд4;Шелепиха;Сердце Столицы
FORMA;developer;https://www.cian.ru/sale/flat/298003593/;Москва;sale;flat;3;26;1;49.37;38130771;2025;-1;Монолитный;-1;Без отделки, предчистовая;12,8 м²;19,2 м²;+74951370018;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/293721207/;Москва;sale;flat;7;13;1;70.04;38599044;2024;-1;Монолитно-кирпичный;-1;Чистовая;15 м²;23,4 м²;+74951387020;;;В20 кв-л;Опалиха;Сберсити ЖК
IKON Development;developer;https://www.cian.ru/sale/flat/299163304/;Москва;sale;flat;15;21;1;43.7;39330000;2024;-1;Монолитно-кирпичный, монолитный;-1;Чистовая;13 м²;22,5 м²;+74951375133;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
ДомДау;developer;https://www.cian.ru/sale/flat/290778380/;Москва;sale;flat;20;85;1;54.23;40162876;2027;-1;Монолитный;-1;Черновая;-1;-1;+74951379093;Пресненский;Краснопресненская набережная;;Выставочная;Дом Дау
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/298011054/;Москва;sale;flat;3;46;1;47.7;39959024;2026;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, черновая, чистовая;27,2 м²;4,9 м²;+74951374925;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
INVEST 7;real_estate_agent;https://www.cian.ru/sale/flat/298207053/;Москва;sale;flat;35;68;1;51.4;41500000;2019;-1;-1;-1;-1;38 м²;8 м²;+79680123159;Пресненский;1-й Красногвардейский проезд;22с1;Тестовская;NEVA TOWERS
Capital Group;developer;https://www.cian.ru/sale/flat/298020354/;Москва;sale;flat;15;67;1;47.5;43500000;2024;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;34,5 м²;8 м²;+74951387140;Пресненский;Краснопресненская набережная;14Ак1;Выставочная;Capital Towers
Трансстройинвест;developer;https://www.cian.ru/sale/flat/296303065/;Москва;sale;flat;2;8;1;71.9;95879153;2026;-1;Монолитный;-1;Без отделки;-1;27,9 м²;+74951374014;Мещанский;Большой Кисельный переулок;11/2с2;Тургеневская;Frank's house
RARITECO;developer;https://www.cian.ru/sale/flat/296749808/;Москва;sale;flat;2;8;1;57.6;97920000;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;18,3 м²;23,6 м²;+74951374112;Замоскворечье;Большая Татарская ;21С8;Новокузнецкая;Клубный дом Quartier d'Or
Трансстройинвест;developer;https://www.cian.ru/sale/flat/296303078/;Москва;sale;flat;2;7;1;71.4;97405308;2026;-1;Монолитный;-1;Без отделки;-1;22,4 м²;+74951374014;Мещанский;Большой Кисельный переулок;11;Тургеневская;Frank's house
Hutton Development;developer;https://www.cian.ru/sale/flat/293911177/;Москва;sale;flat;2;7;-1;202.0;103840000;2026;-1;-1;-1;Без отделки;14,1 м²;18,6 м²;+74951379715;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Sminex;developer;https://www.cian.ru/sale/flat/297692367/;Москва;sale;flat;1;6;1;112.0;134880000;2025;-1;Монолитный;-1;Без отделки;41,6 м²;34,3 м²;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Hutton Development;developer;https://www.cian.ru/sale/flat/293911198/;Москва;sale;flat;2;7;-1;202.0;149904000;2026;-1;-1;-1;Без отделки;13,9 м²;27,9 м²;+74951379715;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Sminex;developer;https://www.cian.ru/sale/flat/297972191/;Москва;sale;flat;1;4;1;67.4;163440000;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;17,7 м²;27,3 м²;+74951347302;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/280729658/;Москва;sale;flat;6;9;1;42.5;5850000;2024;-1;-1;-1;Без отделки;20 м²;9,6 м²;+79154398945;; Луговая;;Рассказовка;Эдельвейс
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846865/;Москва;sale;flat;3;3;1;40.7;5982900;2022;-1;-1;-1;Без отделки;-1;-1;+74951374087;Новофедоровское поселение; Генерала Донскова;25к3;;Борисоглебское
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/280800172/;Москва;sale;flat;6;7;1;43.14;6039600;2024;-1;-1;-1;Без отделки;20,3 м²;9,6 м²;+79154398945;; Луговая;;Рассказовка;Эдельвейс
ID 23228904;realtor;https://www.cian.ru/sale/flat/299488643/;Москва;sale;flat;5;12;1;34.9;6000000;1987;-1;-1;-1;-1;19,5 м²;9,6 м²;+79850103905;;;5;Коммунарка;
ФСК;developer;https://www.cian.ru/sale/flat/290027165/;Москва;sale;flat;2;15;1;24.7;6130540;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;13,2 м²;6,5 м²;+74951387180;;;к2;Солнцево;Движение. Говорово ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299244425/;Москва;sale;flat;1;5;1;36.7;6100000;1998;-1;-1;-1;-1;-1;9 м²;+79651092392;Троицк; Новая;2;;
Апрелевка С2;developer;https://www.cian.ru/sale/flat/298379376/;Москва;sale;flat;3;3;1;41.1;6165000;2022;-1;-1;-1;Без отделки;-1;-1;+74951374087;Новофедоровское поселение; Генерала Донскова;25к4;;Борисоглебское
Самолет;developer;https://www.cian.ru/sale/flat/299291706/;Москва;sale;flat;10;16;1;27.0;6240618;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;9,6 м²;8 м²;+74951347268;;;к2;Филатов Луг;Цветочные Поляны
Upside Development;developer;https://www.cian.ru/sale/flat/297367337/;Москва;sale;flat;6;8;1;35.28;6727896;2024;-1;Монолитный;-1;Чистовая;12,5 м²;15,6 м²;+74951387164;Бибирево; Корнейчука;27;Медведково;Clementine
Апрелевка С2;developer;https://www.cian.ru/sale/flat/293999166/;Москва;sale;flat;1;3;1;39.2;6703200;2023;-1;-1;-1;Без отделки;-1;-1;+74951374087;; Генерала Донскова;25к8;Апрелевка;Борисоглебское
Апрелевка С2;developer;https://www.cian.ru/sale/flat/298379390/;Москва;sale;flat;3;3;1;45.9;6701400;2022;-1;-1;-1;Без отделки;-1;-1;+74951374087;Новофедоровское поселение; Генерала Донскова;25к4;;Борисоглебское
;;https://www.cian.ru/sale/flat/277241896/;Москва;sale;flat;2;7;1;43.14;6772980;2024;-1;-1;-1;Без отделки;-1;-1;+74951376364;;;к6;Рассказовка;Эдельвейс ЖК
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846878/;Москва;sale;flat;1;3;1;39.2;6781600;2023;-1;-1;-1;Без отделки;-1;-1;+74951374087;; Генерала Донскова;29к5;Апрелевка;Борисоглебское
Самолет;developer;https://www.cian.ru/sale/flat/295317307/;Москва;sale;flat;13;16;1;32.7;6894043;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,6 м²;9,1 м²;+74951347268;;;к2;Филатов Луг;Цветочные Поляны
Апрелевка С2;developer;https://www.cian.ru/sale/flat/297846922/;Москва;sale;flat;1;3;1;39.6;6850800;2023;-1;-1;-1;Без отделки;-1;-1;+74951374087;; Генерала Донскова;29к5;Апрелевка;Борисоглебское
Самолет;developer;https://www.cian.ru/sale/flat/299474457/;Москва;sale;flat;6;16;1;33.5;7168062;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,6 м²;9,1 м²;+74951347268;;;к1;Филатов Луг;Цветочные Поляны
Upside Development;developer;https://www.cian.ru/sale/flat/297367242/;Москва;sale;flat;4;8;1;37.32;7292328;2024;-1;Монолитный;-1;Чистовая;13,3 м²;16,2 м²;+74951387164;Бибирево; Корнейчука;27;Медведково;Clementine
КРОСТ;developer;https://www.cian.ru/sale/flat/298394891/;Москва;sale;flat;14;22;1;26.3;7258800;2025;-1;Монолитный;-1;Без отделки;6,6 м²;10,4 м²;+74951378819;;;;Прокшино;Новая Звезда ЖК
Группа Аквилон;developer;https://www.cian.ru/sale/flat/298797909/;Москва;sale;flat;8;23;1;23.5;7294961;2026;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;16,5 м²;2 м²;+74951375104;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Самолет;developer;https://www.cian.ru/sale/flat/295382372/;Москва;sale;flat;12;16;1;27.0;7292115;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;9,6 м²;8 м²;+74951347268;;;к6;Филатов Луг;Цветочные Поляны
А101;developer;https://www.cian.ru/sale/flat/295067409/;Москва;sale;flat;3;9;1;32.4;7344464;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,8 м²;10,2 м²;+74951387243;;;;Толстопальцево;Родные кварталы
;;https://www.cian.ru/sale/flat/277241814/;Москва;sale;flat;5;7;1;45.92;7347200;2024;-1;-1;-1;Без отделки;-1;-1;+74951376364;;;к6;Рассказовка;Эдельвейс ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296435726/;Москва;sale;flat;8;16;1;27.8;7663815;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;9,6 м²;8 м²;+74951347268;;;к3;Филатов Луг;Цветочные Поляны
А101;developer;https://www.cian.ru/sale/flat/290946569/;Москва;sale;flat;2;18;1;22.3;7667738;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;7,3 м²;6,4 м²;+74951379037;;;37.2.1;Бунинская аллея;Скандинавия ЖК
;;https://www.cian.ru/sale/flat/299513374/;Москва;sale;flat;4;17;1;32.2;7749489;2025;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;3.2;Щербинка;Никольские Луга ЖК
;;https://www.cian.ru/sale/flat/299651954/;Москва;sale;flat;2;9;1;34.4;7744081;2024;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;2.4;Щербинка;Никольские Луга ЖК
;;https://www.cian.ru/sale/flat/299513337/;Москва;sale;flat;8;17;1;34.3;7738132;2025;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;3.1;Щербинка;Никольские Луга ЖК
;;https://www.cian.ru/sale/flat/299513329/;Москва;sale;flat;4;17;1;34.8;7729942;2025;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;3.1;Щербинка;Никольские Луга ЖК
Самолет;developer;https://www.cian.ru/sale/flat/289082476/;Москва;sale;flat;1;12;1;32.76;7700232;2025;-1;Монолитно-кирпичный;-1;Чистовая;10,2 м²;10,6 м²;+74951387182;;;к3;Силикатная;Подольские Кварталы ЖК
МГСН;real_estate_agent;https://www.cian.ru/sale/flat/299505738/;Москва;sale;flat;9;9;1;26.3;7990000;-1;-1;-1;-1;-1;13,6 м²;5,7 м²;+79850423109;Орехово-Борисово Южное;Елецкая ;10к1;Домодедовская;
Plus Development;developer;https://www.cian.ru/sale/flat/298554511/;Москва;sale;flat;11;23;1;38.2;7945374;2026;-1;Монолитно-кирпичный;-1;Без отделки;13,7 м²;14,5 м²;+74951370084;;;;Филатов Луг;Детали ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/298530904/;Москва;sale;flat;2;14;1;27.0;7990000;1972;-1;-1;-1;-1;18 м²;3 м²;+79099665694;Сокол;Балтийская ;15;Сокол;
Самолет;developer;https://www.cian.ru/sale/flat/293731137/;Москва;sale;flat;1;9;1;34.56;7975697;2025;-1;Монолитно-кирпичный;-1;Чистовая;16,1 м²;10,9 м²;+74951387182;;;к2;Силикатная;Подольские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/298029052/;Москва;sale;flat;13;17;1;35.63;7941296;2025;-1;Монолитно-кирпичный;-1;Чистовая;10,7 м²;9,7 м²;+74951387150;;;к1;Филатов Луг;Квартал Марьино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296293146/;Москва;sale;flat;6;10;1;33.45;7998228;2025;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;11,4 м²;10,2 м²;+74951347268;;;к11;Филатов Луг;Цветочные Поляны ЖК
БЕЛЫЙ КВАДРАТ - Московский Центр Недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/298298332/;Москва;sale;flat;4;4;1;37.0;7900000;-1;-1;-1;-1;-1;19 м²;13 м²;+79645680199;Соколиная гора;2-й Вольный переулок;11;Семёновская;
Самолет;developer;https://www.cian.ru/sale/flat/289082424/;Москва;sale;flat;6;9;1;34.98;8140085;2025;-1;Монолитно-кирпичный;-1;Чистовая;15,1 м²;11,3 м²;+74951387182;;;к3;Силикатная;Подольские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/292085283/;Москва;sale;flat;2;17;1;32.26;8095885;2025;-1;Монолитно-кирпичный;-1;Чистовая;10,2 м²;10,5 м²;+74951387150;;;к1;Филатов Луг;Квартал Марьино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296789368/;Москва;sale;flat;9;16;1;40.2;8092381;2024;-1;-1;-1;Без отделки;15,3 м²;12,1 м²;+74951347268;;;к1;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/296356647/;Москва;sale;flat;4;16;1;32.6;8214641;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;9,8 м²;15 м²;+74951347268;;;4-5;Филатов Луг;Цветочные Поляны
;;https://www.cian.ru/sale/flat/299510944/;Москва;sale;flat;16;17;1;32.37;8171741;2024;-1;-1;-1;-1;-1;-1;+78005116552;;;1.1;Щербинка;Юнино ЖК
А101;developer;https://www.cian.ru/sale/flat/295212479/;Москва;sale;flat;5;19;1;33.8;8203449;2025;-1;-1;-1;Без отделки;12,1 м²;9,7 м²;+74951387242;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/297650725/;Москва;sale;flat;2;9;1;35.39;8186605;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;16,3 м²;10,8 м²;+74951370082;;;к31;Рассказовка;Новое Внуково ЖК
А101;developer;https://www.cian.ru/sale/flat/296667217/;Москва;sale;flat;14;19;1;34.5;8388802;2025;-1;-1;-1;Без отделки;11,8 м²;11 м²;+74951387242;;;;Улица Горчакова;Бунинские кварталы
Самолет;developer;https://www.cian.ru/sale/flat/296605721/;Москва;sale;flat;2;12;1;35.81;8376986;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,8 м²;9,7 м²;+74951345942;;;к21;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296654017/;Москва;sale;flat;8;14;1;35.51;8391358;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;16 м²;11,9 м²;+74951345942;;;к22;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/296654022/;Москва;sale;flat;6;14;1;34.44;8310615;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;11 м²;11,5 м²;+74951345942;;;к22;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/293629425/;Москва;sale;flat;2;9;1;36.38;8364506;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;10,8 м²;9,8 м²;+74951370082;;;к25;Рассказовка;Новое Внуково ЖК
;;https://www.cian.ru/sale/flat/299651952/;Москва;sale;flat;5;9;1;39.8;8383163;2024;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;2.4;Щербинка;Никольские Луга ЖК
ФСК;developer;https://www.cian.ru/sale/flat/279103174/;Москва;sale;flat;2;15;1;36.62;8330956;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;11,9 м²;11,3 м²;+74951387180;;;к1;Румянцево;Движение. Говорово ЖК
;;https://www.cian.ru/sale/flat/299511041/;Москва;sale;flat;16;17;1;41.0;8498069;2026;-1;-1;-1;-1;-1;-1;+78005116552;; Мостотреста;;Щербинка;Юнино
;;https://www.cian.ru/sale/flat/299513528/;Москва;sale;flat;17;17;1;36.1;8440558;2024;-1;-1;-1;-1;-1;-1;+78005116552;Южное Бутово;;2.2;Бутово;Никольские Луга ЖК
Самолет;developer;https://www.cian.ru/sale/flat/285398329/;Москва;sale;flat;7;14;1;32.4;8471045;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;12,4 м²;8,9 м²;+74951370082;; Стожарова;11;Рассказовка;Новое Внуково
